Date,notification.year,notification.month,monthlyPrevalence,negatives,positives,totalTests
1/1/2009,2009,1,0.211005188,29050,7769,36819
2/1/2009,2009,2,0.191366605,30834,7297,38131
3/1/2009,2009,3,0.163139961,38560,7517,46077
4/1/2009,2009,4,0.164287957,34606,6803,41409
5/1/2009,2009,5,0.180507293,34667,7636,42303
6/1/2009,2009,6,0.202898222,35149,8947,44096
7/1/2009,2009,7,0.237630408,39753,12391,52144
8/1/2009,2009,8,0.282245516,41975,16506,58481
9/1/2009,2009,9,0.278119076,41127,15845,56972
10/1/2009,2009,10,0.269602095,37373,13795,51168
11/1/2009,2009,11,0.26253105,33251,11837,45088
12/1/2009,2009,12,0.26793291,25708,9409,35117
1/1/2010,2010,1,0.261845221,33355,11832,45187
2/1/2010,2010,2,0.25324491,36821,12487,49308
3/1/2010,2010,3,0.23753263,44981,14013,58994
4/1/2010,2010,4,0.258219848,39436,13728,53164
5/1/2010,2010,5,0.275290156,40025,15204,55229
6/1/2010,2010,6,0.305091155,44101,19362,63463
7/1/2010,2010,7,0.324822844,44877,21590,66467
8/1/2010,2010,8,0.299124651,47000,20059,67059
9/1/2010,2010,9,0.281599131,41025,16081,57106
10/1/2010,2010,10,0.265090505,38327,13825,52152
11/1/2010,2010,11,0.247216733,38474,12635,51109
12/1/2010,2010,12,0.253232297,34886,11830,46716
1/1/2011,2011,1,0.237286547,40690,12659,53349
2/1/2011,2011,2,0.204607678,39220,10089,49309
3/1/2011,2011,3,0.187983156,38760,8973,47733
4/1/2011,2011,4,0.195391974,35830,8701,44531
5/1/2011,2011,5,0.223820898,40945,11807,52752
6/1/2011,2011,6,0.276559275,39251,15005,54256
7/1/2011,2011,7,0.271592284,43349,16163,59512
8/1/2011,2011,8,0.259221545,42194,14765,56959
9/1/2011,2011,9,0.257705881,36388,12633,49021
10/1/2011,2011,10,0.258257985,32650,11368,44018
11/1/2011,2011,11,0.242991914,33702,10818,44520
12/1/2011,2011,12,0.246190205,27750,9063,36813
1/1/2012,2012,1,0.246264623,34858,11389,46247
2/1/2012,2012,2,0.253314474,39593,13432,53025
3/1/2012,2012,3,0.184896347,49542,11238,60780
4/1/2012,2012,4,0.17660356,40796,8750,49546
5/1/2012,2012,5,0.188305059,37368,8669,46037
6/1/2012,2012,6,0.198943538,34121,8474,42595
7/1/2012,2012,7,0.205662436,29852,7729,37581
8/1/2012,2012,8,0.169440597,35381,7218,42599
9/1/2012,2012,9,0.157536266,28573,5343,33916
10/1/2012,2012,10,0.160136181,27136,5174,32310
11/1/2012,2012,11,0.160700051,23163,4435,27598
12/1/2012,2012,12,0.16022777,19172,3658,22830
1/1/2013,2013,1,0.141950279,25817,4271,30088
2/1/2013,2013,2,0.113475177,26625,3408,30033
3/1/2013,2013,3,0.081847361,30894,2754,33648
4/1/2013,2013,4,0.073186675,36864,2911,39775
5/1/2013,2013,5,0.076295743,30921,2554,33475
6/1/2013,2013,6,0.086237785,22442,2118,24560
7/1/2013,2013,7,0.090357882,24604,2444,27048
8/1/2013,2013,8,0.079739657,24178,2095,26273
9/1/2013,2013,9,0.083761359,23190,2120,25310
10/1/2013,2013,10,0.08526452,21907,2042,23949
11/1/2013,2013,11,0.090894414,16893,1689,18582
12/1/2013,2013,12,0.09185749,13841,1400,15241
1/1/2014,2014,1,0.072670328,20430,1601,22031
2/1/2014,2014,2,0.063680118,20232,1376,21608
3/1/2014,2014,3,0.052665032,20866,1160,22026
4/1/2014,2014,4,0.042288776,21809,963,22772
5/1/2014,2014,5,0.038150945,22035,874,22909
6/1/2014,2014,6,0.047370384,17878,889,18767
7/1/2014,2014,7,0.054427336,18485,1064,19549
8/1/2014,2014,8,0.061649527,18067,1187,19254
9/1/2014,2014,9,0.063024044,16874,1135,18009
10/1/2014,2014,10,0.062471291,16328,1088,17416
11/1/2014,2014,11,0.07537206,13482,1099,14581
12/1/2014,2014,12,0.095518542,9829,1038,10867
1/1/2015,2015,1,0.066368782,15671,1114,16785
2/1/2015,2015,2,0.053343771,16930,954,17884
3/1/2015,2015,3,0.055904523,16533,979,17512
4/1/2015,2015,4,0.040744467,17163,729,17892
5/1/2015,2015,5,0.048289738,13717,696,14413
6/1/2015,2015,6,0.049670619,14426,754,15180
7/1/2015,2015,7,0.058503754,14548,904,15452
8/1/2015,2015,8,0.066666667,14140,1010,15150
9/1/2015,2015,9,0.082647462,10700,964,11664
10/1/2015,2015,10,0.077391239,12279,1030,13309
11/1/2015,2015,11,0.077393676,12517,1050,13567
12/1/2015,2015,12,0.098649389,9877,1081,10958
1/1/2016,2016,1,0.100457721,11202,1251,12453
2/1/2016,2016,2,0.096090345,13687,1455,15142
3/1/2016,2016,3,0.082612457,14847,1337,16184
4/1/2016,2016,4,0.071047737,14984,1146,16130
5/1/2016,2016,5,0.072600761,14128,1106,15234
6/1/2016,2016,6,0.089200147,12355,1210,13565
7/1/2016,2016,7,0.104274561,11588,1349,12937
8/1/2016,2016,8,0.101995871,13048,1482,14530
9/1/2016,2016,9,0.132695047,10961,1677,12638
10/1/2016,2016,10,0.173358071,11139,2336,13475
11/1/2016,2016,11,0.144180585,13118,2210,15328
12/1/2016,2016,12,0.16662499,9998,1999,11997
1/1/2017,2017,1,0.160749737,14373,2753,17126
2/1/2017,2017,2,0.120113832,16387,2237,18624
3/1/2017,2017,3,0.106329114,19768,2352,22120
4/1/2017,2017,4,0.125718981,13832,1989,15821
5/1/2017,2017,5,0.127468485,16127,2356,18483
6/1/2017,2017,6,0.165266374,17486,3462,20948
7/1/2017,2017,7,0.188947072,18741,4366,23107
8/1/2017,2017,8,0.223013365,20406,5857,26263
9/1/2017,2017,9,0.238543523,22648,7095,29743
10/1/2017,2017,10,0.228818151,22773,6757,29530
11/1/2017,2017,11,0.27181181,18078,6748,24826
12/1/2017,2017,12,0.261185904,14927,5277,20204
1/1/2018,2018,1,0.258128248,17273,6010,23283
2/1/2018,2018,2,0.221865231,17922,5110,23032
3/1/2018,2018,3,0.172106611,22955,4772,27727
4/1/2018,2018,4,0.162127768,23044,4459,27503
5/1/2018,2018,5,0.172794118,22950,4794,27744
6/1/2018,2018,6,0.237950398,16285,5085,21370
7/1/2018,2018,7,0.257088041,17425,6030,23455
8/1/2018,2018,8,0.254313689,20182,6883,27065
9/1/2018,2018,9,0.274348263,18761,7093,25854
10/1/2018,2018,10,0.262666402,18555,6610,25165
11/1/2018,2018,11,0.227452241,16823,4953,21776
12/1/2018,2018,12,0.217524548,12511,3478,15989
1/1/2019,2019,1,0.178280359,16132,3500,19632
2/1/2019,2019,2,0.148397057,18754,3268,22022
3/1/2019,2019,3,0.138657287,19835,3193,23028
4/1/2019,2019,4,0.139488572,19013,3082,22095
5/1/2019,2019,5,0.150145148,17858,3155,21013
6/1/2019,2019,6,0.167220552,15787,3170,18957
7/1/2019,2019,7,0.194560041,18774,4535,23309
8/1/2019,2019,8,0.182220844,18463,4114,22577
9/1/2019,2019,9,0.17354713,18658,3918,22576
10/1/2019,2019,10,0.166615364,18952,3789,22741
11/1/2019,2019,11,0.154900788,16951,3107,20058
12/1/2019,2019,12,0.185564456,9862,2247,12109
